,shop,image,product title,listing link
0,TidyLadyPrintables,https://i.etsystatic.com/7849180/d/il/cf61db/1635944801/il_340x270.1635944801_2tpa.jpg?version=0,"
                        EDITABLE Back to School Photo Prop, Back to School Chalkboard Poster, Personalized School Chalkboard Sign, Any Grade Sign 1st Day of School
                    ",https://www.etsy.com/listing/622252232/editable-back-to-school-photo-prop-back?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-1&plkey=850a526452c4bcd557eff007b41008fb639cc59b%3A622252232&pro=1
1,LittleMountainTop,https://i.etsystatic.com/8148059/c/1235/981/176/975/il/129782/1552447852/il_340x270.1552447852_flo9.jpg,"
                        First Day of School Sign - Digital OR Printed Poster. First Day of School Chalkboard. Back to School Sign. First Day of Kindergarten
                    ",https://www.etsy.com/listing/612908864/first-day-of-school-sign-digital-or?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-2&plkey=194f90a1bb660da7e49a1d9519eb85e910648aec%3A612908864&pro=1&frs=1
2,WorksOfHeartDesignCo,https://i.etsystatic.com/11694644/c/2556/2030/214/0/il/40f3ef/1579141949/il_340x270.1579141949_ieu5.jpg,"
                        First Day of School Sign - Last Day of School Sign - Back To School Chalkboard  - Kindergarten Sign - Personalized Sign - Dry Erase Board
                    ",https://www.etsy.com/listing/453151534/first-day-of-school-sign-last-day-of?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sc_gallery-1-3&plkey=ab6c90706a7bb37ca2c7b4fdb4acddbb4719e8d2%3A453151534&bes=1
3,WorksOfHeartDesignCo,https://i.etsystatic.com/11694644/c/2556/2030/214/0/il/40f3ef/1579141949/il_340x270.1579141949_ieu5.jpg,"
                        First Day of School Sign - Last Day of School Sign - Back To School Chalkboard  - Kindergarten Sign - Personalized Sign - Dry Erase Board
                    ",https://www.etsy.com/listing/453151534/first-day-of-school-sign-last-day-of?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-1&organic_search_click=1&bes=1
4,LittleMountainTop,https://i.etsystatic.com/8148059/c/1235/981/176/975/il/129782/1552447852/il_340x270.1552447852_flo9.jpg,"
                        First Day of School Sign - Digital OR Printed Poster. First Day of School Chalkboard. Back to School Sign. First Day of Kindergarten
                    ",https://www.etsy.com/listing/612908864/first-day-of-school-sign-digital-or?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-2&organic_search_click=1&pro=1&frs=1
5,SurpriseINC,https://i.etsystatic.com/10863160/d/il/9d66ba/1379283692/il_340x270.1379283692_g7ns.jpg?version=0,"
                        Back to School Photo Booth Printable Props - School Party Decorations - Back to School Party Signs -  School Party - DIY - Instant Download
                    ",https://www.etsy.com/listing/565951196/back-to-school-photo-booth-printable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-3&organic_search_click=1
6,theincrediblecards,https://i.etsystatic.com/11235136/d/il/8398ae/1172851204/il_340x270.1172851204_d4uo.jpg?version=0,"
                        Watch Out Kindergarten Here I Come Sign,Back to School Chalkboard Sign Printable Photo Prop, First Day of Kindergarten Sign INSTANT DOWNLOAD
                    ",https://www.etsy.com/listing/522279517/watch-out-kindergarten-here-i-come?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-4&organic_search_click=1&pro=1
7,ABCSongShop,https://i.etsystatic.com/13074769/d/il/dc59cb/1577097814/il_340x270.1577097814_b8en.jpg?version=0,"
                        Back to school sign, preschool sign -  firstDay of School Chalkboard Sign Printable Photo Prop Graduation
                    ",https://www.etsy.com/listing/456282546/back-to-school-sign-preschool-sign?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-5&organic_search_click=1&bes=1
8,BitsyCreations,https://i.etsystatic.com/5137225/d/il/456cb9/639767812/il_340x270.639767812_5agv.jpg?version=0,"
                        First Day of School Printable Signs INSTANT DOWNLOAD Chalkboard Printable Back to School Sign
                    ",https://www.etsy.com/listing/199807073/first-day-of-school-printable-signs?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-6&organic_search_click=1&bes=1
9,theincrediblecards,https://i.etsystatic.com/11235136/d/il/9e4c21/1220073851/il_340x270.1220073851_la2g.jpg?version=0,"
                        Watch Out Kindergarten Here I Come Sign,Back to School Chalkboard Sign Printable Photo Prop, First Day of Kindergarten Sign INSTANT DOWNLOAD
                    ",https://www.etsy.com/listing/508472196/watch-out-kindergarten-here-i-come?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-7&organic_search_click=1&pro=1
10,ABCSongShop,https://i.etsystatic.com/13074769/d/il/f5de4a/1262468232/il_340x270.1262468232_6ynr.jpg?version=0,"
                        Watch Out 4th Grade Here I Come Sign - watch out fourth grade INSTANT DOWNLOAD, Back to School Chalkboard Sign Printable Photo
                    ",https://www.etsy.com/listing/535221602/watch-out-4th-grade-here-i-come-sign?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=back+to+school+sign+printable&ref=sr_gallery-1-8&organic_search_click=1&bes=1
